CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018
IBRD only,4520.904795,5288.379905,5566.435224,5825.141611,5957.2889,5569.060182,5547.990636,6052.038611,6383.675952
IDA & IBRD total,3702.821785,4308.06761,4525.247981,4733.183711,4842.614519,4525.228811,4483.588036,4859.047841,5094.780612
IDA total,1068.2047,1189.377261,1254.491417,1347.179597,1432.009055,1373.110467,1309.391769,1345.833462,1350.091506
IDA blend,1537.548633,1733.9069,1864.973249,1981.713979,2125.490646,1973.224112,1787.140292,1733.460499,1783.299056
Indonesia,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756,3836.913814,3893.596078
IDA only,823.4779359,904.086198,932.9598747,1013.073632,1065.755336,1057.633648,1061.022241,1148.309578,1127.132559
Isle of Man,69766.52119,77351.95888,76104.68137,80431.6728,88974.22865,81606.28003,79155.54167,,
India,1357.563701,1458.103145,1443.879529,1449.605912,1573.881492,1605.605431,1729.268021,1981.499045,2015.590485
Not classified,,,,,,,,,
Ireland,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237,69649.88274,78806.432
"Iran, Islamic Rep.",6603.212269,7818.057232,7927.647542,6111.440608,5608.602512,4916.085938,5265.906635,5627.749268,
Iraq,4657.280426,6045.495551,6836.027313,7076.87718,6818.804621,4989.803075,4649.468115,5143.661232,5878.038566
Iceland,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576,61757.94931,71314.7742,73201.70255
Israel,30659.12775,33701.2131,32543.45515,36344.31551,37733.59292,35855.27504,37371.62691,40543.58417,41613.99808
Italy,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30170.5166,30830.92266,32155.20587,34318.35112
Jamaica,4696.841894,5100.396955,5206.906722,4964.832794,4817.925925,4892.897447,4842.045011,5060.544924,5355.582639
Jordan,3656.453675,3775.519303,3827.294451,3952.340311,4047.553142,4097.411436,4109.574819,4168.641604,4247.768726
Japan,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38794.33094,38331.9794,39286.73765
Kazakhstan,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9030.318806,9331.04695
Kenya,951.6879611,971.633329,1136.871406,1210.388014,1315.804535,1336.883349,1410.527571,1568.201541,1710.510097
Kyrgyz Republic,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1281.363661
Cambodia,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1269.591257,1385.25998,1512.12671
Kiribati,1516.811869,1735.018358,1788.505421,1715.765331,1642.762597,1542.57525,1584.807446,1625.57597,1625.2861
St. Kitts and Nevis,15643.56682,16557.69072,16044.11613,16878.19046,18057.61531,18286.31939,18575.75173,19060.57072,19829.42832
"Korea, Rep.",22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743,29742.83886,31362.75147
Kuwait,38577.38166,48618.88229,51978.99848,49388.1094,44062.3051,29869.52939,27653.1644,29474.54143,34243.95291
Latin America & Caribbean (excluding high income),8760.299195,9861.548467,9815.650853,9927.199022,10050.95922,8449.223414,8131.541009,8959.802025,8527.550215
Lao PDR,1140.599205,1378.361365,1581.395403,1825.665113,1998.335215,2134.704224,2308.802616,2423.846203,2567.543217
Lebanon,7756.744069,7703.389472,7985.854941,7923.851717,7712.062848,7649.832611,7634.946544,7838.343385,8269.787676
Liberia,513.4456986,596.8970811,657.9362563,721.9300554,721.1827948,710.3838577,714.6233922,698.7017644,674.2094847
Libya,12064.78069,5554.179164,13025.28139,10363.78949,6466.91027,4337.919139,4038.970683,5792.06511,7235.028115
St. Lucia,8037.472967,8227.394082,8139.892046,8343.795374,8650.818281,9160.734157,9377.886858,10003.25987,10315.02608
Latin America & Caribbean,9058.33022,10184.85262,10177.56297,10316.48882,10405.4843,8856.928817,8561.875358,9397.620709,9023.504823
Least developed countries: UN classification,804.0226443,901.5127161,940.3088576,994.3154133,1055.252825,1020.578572,997.1653259,1093.811323,1043.055789
Low income,638.2310085,696.4949413,733.2472295,783.1790758,822.2763324,792.2081299,737.9746148,767.8929041,812.7803431
Liechtenstein,141200.38,158156.5998,149010.2249,173058.3174,178845.631,167290.94,165028.245,,
Sri Lanka,2799.648876,3200.833829,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502,4104.630983,4102.48135
Lower middle income,1659.708394,1845.607867,1907.161615,1962.132293,2040.165511,1995.940544,2049.093225,2187.498829,2218.899749
Low & middle income,3588.572251,4182.327928,4404.946735,4608.142466,4719.203953,4418.337014,4378.227913,4743.185613,4967.882744
Lesotho,1183.42153,1391.341435,1329.274971,1245.247919,1279.494446,1219.177853,1119.719758,1232.786919,1324.282768
Late-demographic dividend,6190.076866,7501.005312,7976.021738,8546.653305,8799.049131,8192.357057,8141.932255,8944.752137,9686.991724
Lithuania,11984.86857,14357.73523,14341.18163,15693.78673,16545.12267,14291.90642,14982.53305,16809.64826,19089.70751
Luxembourg,104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,100428.368,101305.5277,104498.7387,114340.4987
Latvia,11326.21947,13702.68947,13822.80559,15032.28201,15716.36907,13639.69412,14133.68295,15684.55852,18088.92725
"Macao SAR, China",52253.15531,66644.38534,76291.84749,89287.45402,93777.1068,75340.98698,73954.95677,81208.88207,86355.40765
St. Martin (French part),,,,,,,,,
Morocco,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2897.66344,3036.171062,3237.883368
Monaco,150585.4489,168785.9408,157515.8991,177593.3519,189170.8957,165920.2236,169904.1821,166726.0519,
Moldova,1958.133697,2363.593749,2446.725316,2668.683032,2674.116332,2179.233625,2272.405707,2724.493093,3189.355812
Madagascar,412.7309341,454.9630874,443.9047493,461.7209205,452.4615431,402.0883118,400.0362751,448.4007965,460.7527808
Maldives,7076.662423,7291.42764,7265.613656,7928.457365,8499.365762,9033.390413,9282.723553,9801.624542,10223.63649
Middle East & North Africa,7172.828684,8331.948772,8895.135438,8667.951716,8540.723351,7388.593939,7264.079568,7422.027903,8056.950437
Mexico,9271.398233,10203.42085,10241.72792,10725.18332,10922.37605,9605.952351,8739.142471,9281.101483,9698.084187
Marshall Islands,2926.748394,3064.872371,3265.520038,3351.027433,3202.597107,3128.4998,3368.804018,3516.71432,3621.174095
Middle income,3916.58872,4574.342688,4823.533202,5050.445776,5176.453636,4850.346612,4817.176095,5229.031764,5483.972023
North Macedonia,4542.899717,5063.786986,4698.141294,5210.67583,5468.480869,4840.273123,5129.15896,5417.642019,6083.718948
Mali,709.5819646,836.5098094,778.6694625,805.2596685,847.1502669,751.1704966,779.874933,828.6132202,901.4031007
Malta,21087.79469,22823.44311,21931.74762,23830.93706,25961.32788,24046.27535,25128.93738,27241.09064,30074.74119
Myanmar,979.05163,1176.242453,1165.794329,1162.33144,1251.820765,1133.002816,1192.495338,1249.828757,1325.952924
Middle East & North Africa (excluding high income),4157.876099,4629.722562,5010.581884,4623.352411,4469.444244,3960.769906,3924.923357,3817.686174,
Montenegro,6682.281158,7318.74469,6586.721279,7186.431924,7378.345289,6514.272695,7028.936577,7784.06529,8760.692286
Mongolia,2643.292914,3757.558633,4351.88692,4366.075901,4158.525715,3918.579174,3660.150746,3671.948419,4103.697493
Northern Mariana Islands,14804.24673,13571.05828,13827.7697,14274.24065,15278.90787,16690.5701,22246.74308,28163.78487,
Mozambique,431.5154715,542.8909589,613.984066,626.6977558,645.2488803,547.2380939,391.5528948,441.6178369,490.1675823
Mauritania,1241.428756,1435.635415,1411.35283,1477.361539,1366.808962,1194.312515,1135.558646,1161.785457,1218.59641
Mauritius,8000.376432,9197.026972,9291.227619,9637.00265,10153.93822,9260.447303,9681.618567,10484.90836,11238.69039
Malawi,478.6685897,534.9512647,391.5618324,348.4302696,371.2697496,380.5970331,315.7773264,356.7175732,389.3980332
Malaysia,9040.566251,10399.37275,10817.44287,10970.12328,11319.07976,9799.367531,9671.024717,10117.56903,11238.95737
North America,48373.70037,50110.05567,51703.26734,53052.79008,54618.84662,55476.89671,56340.17651,58434.03088,60976.80192
Namibia,5324.61704,5753.987148,5930.548473,5694.082634,5624.135341,5032.889762,4786.235303,5646.456007,5931.453885
New Caledonia,,,,,,,,,
Niger,347.3430407,374.4828645,390.1199097,414.3886131,427.737226,360.8533841,362.1311323,375.8694897,411.6889425
Nigeria,2292.445156,2520.404166,2746.991789,2998.072843,3222.693537,2730.430324,2175.99967,1968.559588,2028.18197
Nicaragua,1503.867544,1655.810963,1760.46057,1811.638036,1934.064011,2049.851415,2107.574238,2168.19124,2028.896891
Netherlands,50950.03434,54159.34661,50073.00566,52184.06185,52830.17423,45175.23189,46007.85292,48554.99228,53024.05921
Norway,87770.26684,100711.2248,101668.1707,103059.2482,97199.9191,74521.56993,70941.52527,75704.2487,81807.19804
Nepal,592.4010975,699.4293377,698.4664794,715.923743,743.4133813,792.5528906,777.1475955,900.5739036,1025.798356
Nauru,4920.945499,7227.074927,10101.90017,10038.9491,9872.032592,8013.14784,7820.909491,8844.41715,9030.071064
New Zealand,33692.01083,38426.55081,39970.44004,42949.14223,44533.78309,38559.54704,40026.8522,42260.12518,41966.00918
OECD members,35981.44719,38473.63973,38185.74765,38444.47944,38999.80165,36604.03621,37069.22631,38411.37254,40359.76391
Oman,19281.16563,20896.74698,21923.54802,20926.55405,20131.9813,16150.88726,14721.64733,15170.35174,16418.92693
Other small states,12462.89184,15048.75637,15464.65142,15705.66055,15831.08567,12832.04013,12404.20144,13422.24394,14682.01353
Pakistan,988.7541283,1164.976129,1198.109001,1208.90431,1251.164104,1356.667731,1368.454326,1466.843096,1472.893134
Panama,8082.028459,9358.251475,10722.28363,11889.12763,12796.07004,13630.30797,14356.32405,15166.12443,15575.07255
Peru,5082.354757,5869.32308,6528.972218,6756.752769,6679.341948,6227.586716,6205.3709,6700.81138,6947.256627
Philippines,2124.05677,2345.327754,2572.629425,2749.386636,2831.316667,2867.15199,2941.21204,2981.934151,3102.713363
Palau,10184.51685,10889.58016,12168.28231,12799.36953,13938.22194,16593.48995,17150.04231,16274.90454,17317.87262
Papua New Guinea,1949.34856,2406.897103,2790.699587,2729.875551,2920.774825,2679.326711,2509.629007,2640.153572,2722.604679
Poland,12599.53358,13893.50926,13145.53926,13781.06261,14347.91458,12572.32185,12431.57542,13861.05156,15424.04603
Pre-demographic dividend,1386.538922,1572.979941,1684.116329,1789.071845,1859.91996,1585.942265,1403.453447,1458.126344,1427.934483
Puerto Rico,26435.74879,27278.88305,27944.73389,28513.16574,28981.45733,29764.05389,30628.75478,31353.43418,31651.34815
"Korea, Dem. People’s Rep.",,,,,,,,,
Portugal,22538.65408,23196.18375,20577.40264,21618.73534,22077.53613,19252.63495,19977.39849,21291.43099,23145.73496
Paraguay,4355.934939,5322.96376,5183.082877,5926.832863,6102.943233,5406.703857,5319.410218,5680.580768,5871.467064
West Bank and Gaza,2354.125987,2695.193853,2834.021525,3060.312389,3046.821798,2967.851747,3074.291152,3254.485887,3198.866644
Pacific island small states,2897.483969,3404.54485,3591.851379,3676.08082,3945.603083,3782.032777,3885.782088,4080.526197,4192.618455
Post-demographic dividend,39509.7953,42293.58872,42071.30827,42297.68678,42966.73003,40474.3376,41182.42805,42725.2277,45070.10927
French Polynesia,,,,,,,,,
Qatar,67403.1603,82409.58033,85076.14793,85050.91097,83858.52838,63039.01655,57163.06099,61264.39648,69026.4688
Romania,8209.919456,9104.995622,8535.046876,9555.244217,10026.97358,8977.498544,9567.097782,10792.95628,12301.1864
Russian Federation,10674.9972,14351.21205,15434.57478,16007.08999,14100.7291,9313.787542,8745.375116,10750.58712,11288.87244
Rwanda,576.049201,637.6284383,695.2740829,704.9801594,723.281841,728.0817574,726.353049,762.4991636,772.9678384
South Asia,1257.66949,1367.338787,1364.441602,1381.881309,1494.461188,1541.835813,1648.678479,1867.272248,1905.76641
Saudi Arabia,19262.54768,23745.80161,25243.3587,24844.74437,24463.90316,20627.93278,19879.29753,20803.74257,23219.13048
Sudan,1489.876911,1672.103295,1882.24677,1943.916458,2163.155898,2486.745659,2398.10188,3015.02443,977.2736357
Senegal,1278.977754,1371.723353,1330.057448,1375.678754,1394.794743,1218.764246,1269.040407,1367.218948,1521.953554
Singapore,47236.96023,53890.42873,55546.48854,56967.42579,57562.53079,55646.61875,56724.17039,60297.79378,64581.94402
Solomon Islands,1290.398779,1722.418113,1913.232022,1977.451411,1996.781176,1914.467926,1990.031497,2077.126038,2162.651804
Sierra Leone,401.8350014,448.3375255,566.3786569,716.8353047,714.7007124,588.2284527,501.4157129,499.3807078,522.8581284
El Salvador,2983.229771,3266.010452,3428.410386,3509.531493,3589.040604,3705.577946,3800.122181,3902.237622,4058.244652
San Marino,68496.36068,64890.23886,56068.43455,57302.688,54282.8098,45774.58789,46692.35109,48494.55141,
Somalia,,,,257.8287515,248.8449505,293.4654226,295.9336538,309.066059,314.5623635
Serbia,5735.422857,6809.159804,6015.945228,6755.073511,6600.05665,5585.117808,5756.381194,6284.192672,7233.995874
Sub-Saharan Africa (excluding high income),1575.222758,1737.452571,1781.425063,1843.34454,1884.349687,1668.215982,1510.048357,1598.050477,1572.86396
South Sudan,1654.055676,1813.370515,1025.229925,1280.307197,1258.378127,1154.800949,283.4878017,,
Sub-Saharan Africa,1576.176004,1738.47572,1782.408543,1844.577249,1885.558172,1669.443418,1511.3049,1599.336187,1574.197871
Small states,11191.49531,13284.48724,13672.58756,13888.51918,14024.72971,11732.17339,11298.81941,12125.16296,13202.51903
Sao Tome and Principe,1094.710636,1263.865523,1340.526507,1577.022329,1782.797756,1595.861423,1710.133948,1811.009633,2001.140902
Suriname,8255.796859,8263.172923,9201.008785,9402.233137,9472.0076,8561.974179,5606.712075,5379.119415,5950.213947
Slovak Republic,16600.61359,18187.15744,17274.6423,18191.61279,18629.77966,16182.30372,16544.22781,17579.2594,19546.9019
Slovenia,23437.47202,24985.24827,22532.43564,23357.9392,24194.97435,20887.51964,21617.57985,23449.57452,26234.0229
Sweden,52132.91853,59666.07202,57197.19931,60347.68749,59241.60638,50832.55271,51617.54035,53253.47664,54111.97217
Eswatini,4168.505062,4496.600777,4469.457324,4196.309733,3997.451936,3641.408583,3426.826597,3941.900457,4139.961949
Sint Maarten (Dutch part),,,,,,,,,
Seychelles,10804.68447,12189.09516,12006.68296,14765.67398,14700.33434,14745.34146,15077.83902,15683.6565,16433.93529
Syrian Arab Republic,,,,,,,,,
Turks and Caicos Islands,21028.40814,21835.08314,21009.88581,21328.97901,23296.33691,24832.59637,25995.17246,25933.60744,27142.2278
Chad,891.6988174,983.4472327,967.408126,979.5339592,1018.930956,775.7075235,692.9785958,664.3033157,730.2446076
East Asia & Pacific (IDA & IBRD countries),4045.411068,4907.691743,5432.980876,5950.187377,6349.521859,6556.420419,6623.978189,7156.320319,7902.849346
Europe & Central Asia (IDA & IBRD countries),8249.422465,9976.51225,10356.86657,10929.83092,10297.33222,7981.267098,7648.518446,8516.291877,8788.47217
Togo,533.508792,586.3288415,571.8394289,621.2222598,640.0816111,570.6807371,587.8744094,619.066371,671.8406876
Thailand,5076.342992,5492.115427,5860.58061,6168.264895,5951.883702,5840.046948,5978.611454,6578.188865,7273.563207
Tajikistan,749.552711,847.3821018,969.2964731,1048.227293,1104.171689,929.0958572,802.5180041,806.0415731,826.6215305
Turkmenistan,4439.200382,5649.952278,6675.185658,7304.287132,7962.239098,6432.680702,6389.548408,6587.090316,6966.635411
Latin America & the Caribbean (IDA & IBRD countries),8974.007984,10119.52347,10102.29563,10237.80717,10322.94239,8716.406758,8404.752742,9253.666484,8881.077105
Timor-Leste,3656.952175,5095.489043,5879.699782,4888.317123,3441.650571,2585.153878,2053.273798,2000.601191,2035.533908
Middle East & North Africa (IDA & IBRD countries),4178.685372,4652.157905,5036.026187,4641.495942,4485.98379,3972.175733,3934.616702,3823.8332,
Tonga,3553.220614,4084.624132,4597.742305,4428.566481,4393.940811,4320.63799,3966.15652,4217.476507,4364.015561
